Date,Alemania,Sudáfrica,España
2020-11-25 00:00:00+00:00,961320,775502,1605066
2020-11-26 00:00:00+00:00,983588,778571,1617355
2020-11-27 00:00:00+00:00,1006394,781941,1628208
2020-11-28 00:00:00+00:00,1028089,785139,1628208
2020-11-29 00:00:00+00:00,1042700,787702,1628208
2020-11-30 00:00:00+00:00,1053869,790004,1648187
2020-12-01 00:00:00+00:00,1067473,792299,1656444
2020-12-02 00:00:00+00:00,1084743,796472,1665775
2020-12-03 00:00:00+00:00,1106789,800872,1675902
2020-12-04 00:00:00+00:00,1130238,805804,1684647
2020-12-05 00:00:00+00:00,1153556,810449,1684647
2020-12-06 00:00:00+00:00,1171323,814565,1684647
2020-12-07 00:00:00+00:00,1183655,817878,1702328
2020-12-08 00:00:00+00:00,1197709,821889,1702328
2020-12-09 00:00:00+00:00,1218524,828598,1712101
2020-12-10 00:00:00+00:00,1242203,836764,1720056
2020-12-11 00:00:00+00:00,1272078,845083,1730575
2020-12-12 00:00:00+00:00,1300516,852965,1730575
2020-12-13 00:00:00+00:00,1320716,860964,1730575
2020-12-14 00:00:00+00:00,1337078,866127,1751884
2020-12-15 00:00:00+00:00,1351510,873679,1762212
2020-12-16 00:00:00+00:00,1379238,883687,1773290
2020-12-17 00:00:00+00:00,1406161,892813,1785421
2020-12-18 00:00:00+00:00,1439938,901538,1797236
2020-12-19 00:00:00+00:00,1471238,912477,1797236
2020-12-20 00:00:00+00:00,1494009,921922,1797236
2020-12-21 00:00:00+00:00,1510652,930711,1819249
2020-12-22 00:00:00+00:00,1530180,940212,1829903
2020-12-23 00:00:00+00:00,1554920,954258,1842289
2020-12-24 00:00:00+00:00,1587115,968563,1854951
2020-12-25 00:00:00+00:00,1587115,983359,1854951
2020-12-26 00:00:00+00:00,1627103,994911,1854951
2020-12-27 00:00:00+00:00,1640858,1004413,1854951
2020-12-28 00:00:00+00:00,1651834,1011871,1879413
2020-12-29 00:00:00+00:00,1664726,1021451,1893502
2020-12-30 00:00:00+00:00,1687185,1039161,1910218
2020-12-31 00:00:00+00:00,1719737,1057161,1928265
2021-01-01 00:00:00+00:00,1719737,1073887,1928265
2021-01-02 00:00:00+00:00,1755351,1088889,1928265
2021-01-03 00:00:00+00:00,1765666,1100748,1928265
2021-01-04 00:00:00+00:00,1775513,1113349,1958844
2021-01-05 00:00:00+00:00,1787410,1127759,1982544
2021-01-06 00:00:00+00:00,1808647,1149591,1982544
2021-01-07 00:00:00+00:00,1835038,1170590,2024904
2021-01-08 00:00:00+00:00,1866887,1192570,2050360
2021-01-09 00:00:00+00:00,1891581,1214176,2050360
2021-01-10 00:00:00+00:00,1908527,1231597,2050360
2021-01-11 00:00:00+00:00,1921024,1246643,2111782
2021-01-12 00:00:00+00:00,1933826,1259748,2137220
2021-01-13 00:00:00+00:00,1953426,1278303,2176089
2021-01-14 00:00:00+00:00,1978590,1296806,2211967
2021-01-15 00:00:00+00:00,2000958,1311686,2252164
2021-01-16 00:00:00+00:00,2019636,1325659,2252164
2021-01-17 00:00:00+00:00,2033518,1337926,2252164
2021-01-18 00:00:00+00:00,2040659,1346936,2336451
2021-01-19 00:00:00+00:00,2052028,1356716,2370742
2021-01-20 00:00:00+00:00,2068002,1369426,2412318
2021-01-21 00:00:00+00:00,2088400,1380807,2456675
2021-01-22 00:00:00+00:00,2106262,1392568,2499560
2021-01-23 00:00:00+00:00,2122679,1404839,2499560
